gender,age,state_of_origin,institution_tier,skills_score,experience_years,gap_years,referral,communication_score,hiring_decision,actual_performance_score
1,44,Tier2,Tier2_College,67.1,4,0,0,77.4,0,41.9
1,27,Tier2,IIT_NIT,71.3,3,0,0,77.6,1,57.2
1,38,Tier3,IIT_NIT,60.3,5,0,0,56.9,0,51.4
1,40,Tier2,Tier3_College,99.4,5,0,1,59.0,1,59.3
1,39,Tier2,Tier2_College,94.1,3,3,0,68.1,0,71.4
0,27,Tier3,Tier2_College,63.9,6,1,0,67.9,0,60.6
1,45,Metro,Tier2_College,59.7,2,1,0,94.2,0,42.0
1,40,Metro,Tier2_College,81.0,7,2,0,55.5,1,67.0
1,31,Tier2,IIT_NIT,51.1,2,0,0,83.4,0,42.3
1,45,Tier3,Tier2_College,79.8,4,0,1,52.8,1,42.8
0,29,Metro,Tier2_College,69.8,5,0,0,70.9,0,50.6
0,42,Metro,Tier2_College,47.9,2,0,0,46.0,0,44.4
0,45,Metro,Tier3_College,65.9,2,0,1,84.5,0,54.1
0,27,Metro,Tier2_College,58.8,8,2,1,71.3,1,55.9
1,42,Tier3,Tier2_College,70.3,3,0,1,73.0,1,53.3
1,28,Tier2,Tier2_College,68.8,5,0,0,79.9,0,63.4
0,45,Tier2,Tier2_College,49.1,3,0,0,61.7,0,46.9
1,22,Tier2,Tier3_College,63.3,0,0,0,49.3,0,62.3
0,39,Tier3,Tier2_College,76.0,8,0,0,41.8,0,73.2
0,45,Metro,Tier2_College,78.5,2,1,0,74.6,1,60.1
0,41,Tier2,Tier3_College,62.9,2,0,0,61.8,0,33.5
0,33,Tier2,IIT_NIT,74.4,3,2,0,79.5,1,52.5
1,37,Metro,Tier3_College,71.7,6,2,1,73.6,0,52.2
0,31,Tier2,Tier3_College,67.3,4,0,0,73.0,0,48.8
1,31,Metro,Tier2_College,74.5,2,0,0,84.1,1,51.2
1,35,Metro,IIT_NIT,55.0,2,0,0,83.9,0,52.2
0,41,Metro,Tier2_College,68.0,2,1,0,65.2,0,52.2
1,31,Tier3,Tier2_College,45.5,8,0,1,69.2,0,39.5
1,31,Metro,Tier2_College,67.2,5,0,0,83.0,1,50.6
0,32,Tier3,Tier2_College,88.0,5,2,0,66.1,1,62.0
1,44,Metro,Tier3_College,63.5,2,0,1,51.9,0,52.9
0,23,Tier3,Tier2_College,86.6,4,0,0,37.1,0,67.5
0,41,Tier3,Tier3_College,63.7,4,1,0,55.8,0,59.1
0,29,Tier3,Tier3_College,52.8,6,0,0,74.3,0,52.7
1,44,Tier3,Tier3_College,77.3,8,0,1,68.3,0,63.7
1,28,Metro,IIT_NIT,74.5,4,0,0,92.1,1,59.4
0,29,Metro,Tier2_College,100.0,6,1,0,77.6,0,74.6
0,22,Tier2,Tier3_College,54.3,3,0,0,49.2,0,52.5
1,42,Metro,Tier3_College,73.0,7,0,0,85.2,1,65.4
0,23,Metro,Tier3_College,73.5,2,0,1,53.4,0,60.5
0,39,Tier3,Tier3_College,82.8,2,0,0,83.0,0,61.8
1,36,Tier2,Tier2_College,75.4,5,0,0,76.2,0,62.1
1,22,Tier2,Tier2_College,64.0,7,2,1,87.2,0,56.4
0,26,Tier3,IIT_NIT,53.0,6,2,0,69.6,0,36.4
1,23,Tier2,Tier2_College,72.9,7,0,1,69.9,0,58.9
1,41,Tier2,Tier2_College,73.2,4,2,1,71.8,1,49.6
0,24,Tier3,Tier3_College,76.8,7,1,1,52.6,1,57.8
1,40,Metro,Tier3_College,63.9,2,0,1,75.6,0,52.8
0,39,Metro,Tier3_College,71.9,8,1,0,69.4,0,66.8
1,43,Tier3,Tier2_College,46.4,6,2,0,74.7,0,34.3
1,39,Tier3,Tier2_College,53.6,4,0,0,65.4,1,31.4
1,35,Tier3,Tier3_College,81.1,5,0,0,57.6,0,63.1
0,45,Tier2,Tier2_College,70.5,2,1,0,64.9,1,54.7
1,29,Tier3,IIT_NIT,74.7,4,0,1,57.9,0,51.2
0,33,Metro,Tier2_College,59.6,3,0,0,57.2,0,42.0
0,42,Metro,Tier2_College,57.8,2,0,0,52.9,0,43.5
0,31,Tier2,IIT_NIT,62.1,2,1,0,63.4,0,54.8
1,44,Tier2,Tier3_College,71.3,1,1,1,71.5,0,44.0
1,41,Metro,Tier3_College,77.6,2,0,1,66.4,0,57.7
0,38,Metro,Tier3_College,64.5,3,1,0,72.4,1,60.9
1,32,Metro,IIT_NIT,44.8,4,0,1,71.9,1,30.4
0,23,Tier2,Tier3_College,73.6,4,0,0,60.9,0,61.1
1,25,Tier3,Tier3_College,71.7,2,3,1,81.0,0,54.7
0,22,Tier2,Tier3_College,74.7,3,1,0,57.6,0,62.2
1,36,Metro,Tier3_College,80.0,6,0,0,69.1,0,62.8
0,34,Tier2,Tier3_College,78.9,3,0,0,68.6,1,63.2
1,29,Tier2,IIT_NIT,87.1,4,0,0,78.9,0,74.4
0,25,Tier2,Tier3_College,68.4,4,0,0,52.4,0,58.2
0,31,Tier2,IIT_NIT,62.0,4,0,1,66.4,0,53.7
0,40,Tier2,Tier2_College,82.6,6,1,0,64.2,0,71.3
1,39,Tier3,Tier3_College,80.7,10,2,1,76.3,1,62.9
1,26,Metro,Tier2_College,64.7,3,0,1,65.5,1,41.6
0,40,Tier2,IIT_NIT,83.5,9,1,0,65.3,0,81.2
1,44,Tier2,Tier3_College,69.0,0,0,1,89.5,1,54.7
1,43,Tier2,Tier3_College,85.9,3,0,1,65.0,0,75.0
1,37,Metro,Tier2_College,92.2,3,3,1,86.4,1,53.7
1,22,Metro,Tier3_College,100.0,1,1,1,68.8,1,88.9
0,33,Metro,Tier2_College,68.9,2,1,1,66.5,1,47.8
0,45,Tier3,Tier2_College,87.8,1,1,0,58.4,0,68.0
1,23,Tier2,Tier2_College,80.0,5,0,1,57.8,0,58.8
1,42,Tier2,IIT_NIT,81.3,1,0,0,58.0,0,48.3
1,29,Tier3,Tier2_College,73.9,3,1,1,75.8,0,58.6
0,39,Metro,IIT_NIT,81.3,5,0,1,61.9,1,75.9
0,37,Tier3,Tier3_College,48.8,2,0,0,54.4,0,34.0
1,26,Tier2,Tier3_College,67.6,3,0,0,62.0,0,48.1
1,43,Metro,Tier3_College,58.9,4,0,1,53.7,1,57.0
1,34,Tier3,Tier3_College,57.7,5,0,1,60.5,1,47.2
1,40,Tier3,IIT_NIT,47.9,5,0,0,65.5,0,31.9
1,24,Tier3,Tier3_College,60.6,2,0,0,56.5,0,41.5
0,29,Metro,Tier3_College,65.6,7,1,1,71.7,0,49.5
0,33,Tier3,Tier2_College,70.6,2,2,0,61.2,0,59.9
1,23,Tier3,IIT_NIT,67.8,5,0,0,59.3,0,39.1
1,32,Metro,Tier3_College,82.7,6,0,0,75.0,1,64.1
0,33,Metro,Tier3_College,55.5,5,0,0,67.9,0,44.7
0,39,Metro,Tier3_College,40.8,4,0,1,76.7,0,36.7
1,34,Tier3,IIT_NIT,75.4,2,0,0,52.1,0,60.6
0,26,Tier2,IIT_NIT,67.3,1,0,0,83.5,0,48.5
0,43,Metro,Tier2_College,67.1,4,2,1,65.0,0,42.9
1,33,Metro,Tier2_College,58.0,8,0,1,82.7,1,51.0
1,23,Metro,IIT_NIT,80.7,4,0,1,59.5,1,70.8
1,26,Tier2,Tier2_College,62.1,5,1,0,69.9,0,43.9
0,28,Tier2,Tier2_College,55.6,5,3,0,60.4,0,37.7
1,45,Tier3,Tier3_College,91.4,4,1,1,73.0,0,69.4
0,33,Tier2,Tier2_College,77.7,1,0,0,82.5,0,63.3
0,37,Tier3,Tier2_College,67.4,2,1,1,63.7,0,50.9
1,44,Metro,Tier3_College,33.8,3,0,1,66.7,0,35.3
1,29,Metro,Tier3_College,64.7,5,1,1,73.6,1,54.5
1,30,Tier2,Tier2_College,67.7,4,0,1,43.5,0,53.9
1,36,Metro,Tier2_College,88.5,3,0,0,67.9,1,53.1
1,26,Metro,Tier3_College,43.5,2,0,0,48.2,1,41.9
0,34,Tier3,Tier2_College,89.8,1,0,0,74.5,0,48.8
0,26,Tier2,Tier3_College,74.1,4,0,0,74.8,0,40.8
0,32,Metro,Tier2_College,51.1,7,1,0,75.3,0,36.7
0,31,Metro,Tier2_College,80.9,5,0,0,58.1,1,71.6
1,41,Metro,Tier3_College,64.6,5,0,0,57.0,0,51.5
0,34,Tier3,Tier3_College,44.7,7,0,0,74.3,0,34.4
1,30,Metro,Tier2_College,61.8,2,0,1,100.0,1,47.3
1,42,Metro,IIT_NIT,71.6,5,0,0,80.6,0,65.3
1,35,Tier2,Tier3_College,68.9,5,0,0,88.2,0,37.3
1,39,Metro,Tier2_College,77.0,3,2,0,75.3,0,59.4
1,36,Metro,Tier2_College,83.4,3,0,0,69.5,1,57.6
1,31,Metro,Tier3_College,52.6,5,1,1,93.5,1,37.4
0,45,Metro,Tier2_College,67.7,3,2,0,67.3,0,60.7
1,28,Metro,Tier3_College,59.5,3,1,0,84.8,1,38.0
0,29,Metro,Tier3_College,50.5,1,3,0,66.3,0,32.2
0,24,Tier3,Tier2_College,67.3,7,0,0,59.4,0,55.0
1,36,Metro,Tier2_College,74.0,2,0,1,70.6,1,50.6
0,37,Tier3,Tier3_College,74.9,5,1,0,68.0,0,68.6
1,25,Tier3,IIT_NIT,62.5,9,0,0,63.0,0,55.7
1,42,Tier2,IIT_NIT,53.9,5,0,0,94.9,0,38.4
1,27,Metro,Tier3_College,59.0,6,0,0,76.6,0,58.0
0,22,Metro,Tier3_College,41.7,6,1,0,65.9,0,40.7
0,25,Tier2,Tier3_College,51.3,1,0,0,56.9,0,47.5
1,32,Tier2,IIT_NIT,52.6,3,2,0,77.0,0,34.1
0,33,Tier2,IIT_NIT,79.8,7,0,0,38.0,1,70.5
1,26,Metro,IIT_NIT,79.8,4,0,0,70.7,1,52.4
1,44,Tier3,Tier3_College,97.8,4,0,0,77.4,0,79.9
1,42,Metro,Tier2_College,71.4,2,1,0,59.3,0,44.5
0,37,Metro,Tier2_College,61.2,3,1,0,72.7,0,37.6
0,34,Tier2,IIT_NIT,68.2,3,1,0,70.9,1,51.3
1,34,Metro,Tier2_College,65.6,4,0,0,69.6,0,49.9
0,38,Tier2,Tier2_College,59.2,5,3,0,66.7,0,46.8
0,28,Tier3,IIT_NIT,72.5,0,0,1,62.0,1,57.0
1,29,Tier3,Tier3_College,70.7,3,0,0,57.0,0,55.5
1,34,Tier3,Tier2_College,66.8,4,0,1,88.5,0,61.9
1,44,Tier2,Tier3_College,63.9,3,0,0,75.1,0,47.4
1,37,Tier2,Tier3_College,76.8,2,1,0,68.7,0,56.9
0,25,Metro,Tier2_College,60.2,9,3,0,67.6,0,39.7
1,29,Tier2,Tier2_College,62.4,4,0,0,80.6,0,47.2
1,37,Metro,Tier2_College,74.7,4,0,0,51.7,0,48.0
0,42,Metro,Tier3_College,82.2,5,2,0,65.9,1,58.0
1,31,Metro,Tier2_College,80.9,2,0,0,57.9,1,56.1
1,33,Tier2,Tier3_College,64.4,5,0,0,79.0,1,50.8
1,33,Tier2,Tier3_College,50.3,5,0,0,79.1,0,46.6
1,26,Tier3,Tier3_College,63.9,2,0,1,64.3,0,41.2
1,37,Tier2,Tier2_College,69.0,3,0,1,75.6,0,66.3
0,22,Tier3,Tier3_College,52.4,2,0,0,67.9,0,44.3
0,30,Tier3,Tier3_College,63.7,8,1,0,82.8,0,44.9
1,33,Tier2,Tier2_College,84.9,8,0,1,76.8,0,76.9
1,26,Tier2,Tier2_College,70.1,3,0,0,56.4,0,52.3
1,43,Metro,IIT_NIT,60.4,3,0,1,64.3,0,45.1
1,41,Tier3,IIT_NIT,68.4,5,0,0,69.4,1,47.8
1,43,Tier2,Tier3_College,69.2,8,0,0,45.5,0,59.4
1,45,Tier3,Tier2_College,62.8,5,0,1,82.0,0,42.4
1,24,Tier2,Tier3_College,78.8,2,0,1,74.3,1,52.7
1,26,Tier3,Tier3_College,42.4,4,0,0,48.3,0,19.3
1,23,Tier3,Tier3_College,74.6,3,0,0,67.6,0,65.2
1,35,Metro,Tier2_College,60.0,4,0,0,100.0,0,43.3
1,23,Metro,IIT_NIT,82.6,8,0,0,66.8,1,79.5
0,34,Tier2,Tier3_College,50.2,3,0,0,47.6,0,43.2
0,28,Tier2,Tier2_College,81.1,0,0,0,58.4,0,67.9
0,31,Metro,Tier2_College,57.0,3,3,0,47.3,0,52.2
1,34,Tier3,IIT_NIT,72.5,2,2,0,71.3,1,56.6
0,37,Tier2,Tier3_College,61.5,4,3,0,52.5,0,51.7
1,35,Tier3,Tier3_College,83.8,6,0,0,75.9,0,74.4
1,32,Tier3,Tier2_College,65.3,4,0,0,71.0,1,55.0
0,31,Tier2,Tier2_College,57.9,5,0,0,57.1,0,39.9
1,27,Tier3,Tier3_College,87.6,4,0,0,50.3,0,63.0
0,25,Tier2,Tier2_College,64.1,3,2,1,68.7,0,50.8
0,42,Tier3,Tier2_College,75.3,6,0,0,64.0,0,49.8
1,22,Metro,Tier3_College,81.1,6,0,0,54.6,0,60.2
0,28,Metro,IIT_NIT,55.7,6,1,0,58.5,0,41.3
0,45,Tier2,Tier2_College,73.9,3,0,0,46.3,1,46.6
1,30,Tier2,Tier2_College,75.8,4,0,1,59.0,0,61.0
1,29,Tier2,Tier2_College,46.3,2,0,0,67.1,0,42.7
0,26,Tier2,Tier2_College,72.5,1,2,0,57.1,0,58.1
1,40,Metro,Tier2_College,63.0,5,0,1,58.0,0,34.0
0,31,Tier3,Tier2_College,90.7,5,0,0,67.0,0,63.6
0,32,Tier2,Tier2_College,80.1,4,0,1,71.2,0,69.7
1,36,Tier2,Tier3_College,74.1,5,0,0,78.8,1,62.7
1,27,Tier2,Tier3_College,39.4,3,0,0,89.7,0,38.4
1,36,Tier3,IIT_NIT,74.2,2,0,1,72.9,0,51.8
1,26,Tier3,Tier3_College,57.3,3,0,1,55.8,0,43.5
1,40,Tier2,Tier2_College,80.2,7,0,1,62.6,1,76.0
1,43,Metro,Tier2_College,65.8,3,0,1,77.2,0,43.1
0,40,Tier2,Tier2_College,60.7,12,1,1,69.5,0,50.1
1,31,Tier2,Tier2_College,61.9,4,0,0,59.3,0,49.8
0,33,Tier3,Tier3_College,62.8,6,0,1,73.4,0,47.1
1,43,Tier2,Tier2_College,49.1,1,0,0,55.9,1,34.6
0,25,Tier3,Tier2_College,51.0,5,2,0,44.6,0,61.6
0,39,Tier2,Tier3_College,63.3,6,1,0,71.8,0,52.0
1,37,Tier3,Tier2_College,89.8,4,0,1,59.7,1,74.0
1,29,Metro,Tier2_College,78.0,5,0,0,66.4,1,73.0
1,25,Tier3,IIT_NIT,79.3,2,0,0,60.5,1,53.4
0,44,Tier3,Tier2_College,84.8,5,0,1,64.6,1,61.3
0,33,Tier3,Tier2_College,71.9,4,1,0,58.5,0,43.6
0,23,Metro,Tier2_College,61.6,2,0,0,67.6,0,43.2
0,25,Metro,Tier2_College,62.2,1,0,1,77.4,1,46.8
1,26,Tier2,IIT_NIT,56.4,6,0,0,63.8,0,45.7
1,24,Metro,Tier3_College,79.4,5,0,0,78.5,0,63.9
1,30,Metro,Tier3_College,54.9,8,3,0,91.2,0,44.0
0,42,Metro,Tier3_College,97.3,4,0,0,54.4,0,78.6
1,39,Tier2,Tier3_College,55.4,5,0,0,85.5,0,47.0
1,32,Tier2,Tier3_College,85.1,5,0,0,58.5,0,59.3
1,24,Metro,Tier3_College,85.2,0,0,0,63.7,1,69.5
1,44,Metro,Tier2_College,76.7,3,0,0,54.6,1,68.8
0,23,Tier2,IIT_NIT,90.7,4,1,0,58.1,0,80.5
0,30,Tier2,Tier2_College,65.3,5,1,0,69.2,0,52.5
0,35,Metro,IIT_NIT,69.8,3,0,1,76.3,0,61.5
1,25,Tier2,Tier3_College,71.1,4,0,0,81.2,0,67.4
0,30,Tier3,Tier2_College,76.3,6,2,1,37.7,0,65.9
0,34,Tier3,Tier3_College,42.5,7,0,0,42.6,0,32.1
0,39,Tier3,IIT_NIT,66.5,3,0,1,66.2,0,56.2
0,36,Tier3,Tier2_College,80.0,2,1,0,69.1,0,63.3
1,31,Tier2,Tier2_College,62.8,0,0,0,81.7,0,57.2
1,37,Tier2,Tier2_College,95.4,6,0,1,73.9,1,77.9
1,33,Tier2,Tier2_College,69.8,8,0,0,55.3,0,56.8
0,41,Tier2,IIT_NIT,75.2,5,0,0,53.4,1,66.7
1,26,Metro,Tier2_College,89.7,6,0,0,74.2,1,74.7
1,23,Tier2,Tier2_College,69.8,2,0,0,52.4,0,66.6
0,31,Tier2,Tier3_College,89.5,4,1,0,53.2,0,70.4
1,22,Metro,Tier2_College,76.2,3,0,1,71.6,1,72.8
0,28,Tier3,Tier2_College,76.2,4,1,0,59.8,0,63.4
1,38,Metro,Tier3_College,55.6,3,0,0,72.7,0,47.4
1,37,Metro,Tier2_College,83.5,1,0,0,76.4,0,58.4
0,45,Metro,Tier2_College,59.5,3,2,0,50.7,0,37.9
0,24,Metro,Tier2_College,65.4,6,1,0,68.7,1,65.5
1,35,Metro,Tier3_College,85.6,1,0,0,57.3,1,63.3
1,31,Tier3,Tier2_College,62.9,3,0,0,66.6,1,56.5
1,43,Tier2,Tier2_College,72.9,9,0,0,77.1,1,48.1
1,28,Tier2,Tier3_College,67.2,3,0,1,74.6,0,50.5
0,38,Metro,IIT_NIT,67.7,2,0,0,55.9,0,60.6
0,27,Tier2,Tier3_College,65.9,5,1,0,51.6,0,59.3
1,44,Tier3,Tier2_College,53.5,5,0,0,85.5,0,45.8
0,43,Tier2,Tier2_College,75.6,6,0,0,73.7,1,55.2
1,25,Tier2,Tier3_College,76.9,2,0,1,67.5,0,61.0
1,38,Tier3,Tier2_College,59.9,5,2,1,82.0,0,44.5
1,30,Tier3,Tier3_College,61.8,1,0,1,66.2,1,47.4
0,25,Tier2,Tier3_College,80.8,5,1,0,92.4,0,59.9
1,28,Metro,Tier2_College,64.3,4,0,1,69.9,1,26.1
1,44,Tier2,Tier3_College,69.3,4,3,0,99.6,0,43.7
1,23,Tier2,IIT_NIT,55.7,3,1,0,72.0,1,48.7
1,38,Tier2,Tier3_College,67.1,3,0,0,55.4,0,51.8
0,45,Tier3,Tier2_College,55.7,3,0,0,63.4,0,52.0
1,29,Tier2,Tier2_College,59.5,3,0,1,78.4,0,37.5
1,44,Tier3,Tier2_College,57.3,1,0,0,68.2,0,53.9
0,36,Metro,Tier2_College,80.1,8,1,0,61.0,1,68.2
0,36,Metro,Tier2_College,49.4,5,1,1,71.2,0,26.7
0,29,Metro,Tier3_College,71.7,8,0,0,75.5,0,59.9
0,37,Tier3,Tier3_College,64.9,4,0,0,54.6,0,55.0
0,40,Tier3,IIT_NIT,87.5,3,0,1,62.3,0,66.5
1,32,Tier2,IIT_NIT,78.9,1,0,0,58.0,0,75.0
0,23,Tier2,Tier3_College,50.6,5,0,0,69.4,0,38.9
0,44,Tier2,Tier2_College,60.2,1,1,0,53.8,0,32.7
1,45,Tier3,IIT_NIT,67.8,6,0,0,70.8,0,57.7
0,38,Tier3,Tier2_College,60.1,7,3,0,76.6,0,44.2
1,37,Tier2,Tier2_College,80.7,3,0,1,78.1,0,62.5
0,36,Tier2,Tier2_College,70.4,4,1,0,62.0,0,52.6
0,34,Metro,Tier3_College,65.3,8,2,0,52.3,0,58.7
1,36,Tier2,Tier2_College,81.7,5,0,0,70.3,0,53.5
1,25,Tier2,IIT_NIT,51.5,3,1,0,65.6,0,47.9
1,37,Metro,Tier3_College,64.3,5,1,0,73.3,0,53.5
1,33,Tier3,Tier2_College,71.5,7,0,0,69.3,0,62.6
1,25,Tier2,Tier2_College,66.0,5,0,1,65.2,1,32.4
0,24,Tier3,Tier2_College,24.5,2,2,0,54.8,0,31.9
